묶음,재료명,빈도,출처,표준명,판정,메모
1,소금,777,농식,소금,그대로,
1,깨소금,151,농식,깨소금,그대로,"소금과 76건 동시 등장, 같은 문장에 나란히 나열 — 별개 재료. 파일럿(D-035)이 검출"
1,함초소금,15,식,소금,가공,
1,볶은소금,12,식,소금,가공,
1,저염소금,5,식,소금,가공,
1,굵은소금,4,농식,소금,가공,
1,버섯마늘소금,4,식,소금,가공,
2,마늘,347,농식,마늘,그대로,
2,다진마늘,282,농식,마늘,가공,
2,다진 마늘,151,농식,마늘,가공,
2,마늘다진것,36,식,마늘,가공,
2,마늘기름,12,식,마늘,가공,
2,통마늘,11,농식,마늘,가공,
2,마늘오일,4,식,마늘,가공,
3,양파,601,농식,양파,그대로,
3,다진양파,24,농식,양파,가공,
3,다진 양파,19,식,양파,가공,
3,양파다진것,16,식,양파,가공,
3,양파즙,8,농식,양파,가공,
3,적양파,8,식,양파,가공,
3,깐양파,5,식,양파,가공,
4,홍고추,213,농식,홍고추,그대로,
4,고추장,130,농식,고추장,그대로,
4,청고추,126,농식,청고추,그대로,
4,청양고추,68,농식,청양고추,그대로,
4,풋고추,26,농식,풋고추,그대로,
4,붉은 고추,16,농식,홍고추,표기,
4,고추기름,13,농식,고추기름,그대로,
4,고추,11,농식,고추,그대로,
4,실고추,10,농식,실고추,그대로,"말린 고추 고명. 백김치·청고추와 공존, 생고추로 대체 불가 — 건조 구분 원칙 적용. 파일럿(D-035)이 검출"
4,마른고추,10,농식,건고추,표기,
4,꽈리고추,7,농식,꽈리고추,그대로,
4,다진홍고추,7,농식,홍고추,가공,
4,고추냉이,5,농식,고추냉이,그대로,
4,다진청고추,5,농식,청고추,가공,
4,다진 홍고추,4,식,홍고추,가공,
4,다진 청양고추,4,식,청양고추,가공,
5,간장,341,농식,간장,그대로,
5,저염간장,108,식,간장,가공,
5,진간장,47,농식,진간장,그대로,
5,국간장,43,농식,국간장,그대로,
5,맛간장,32,식,간장,가공,
5,저염 간장,10,식,간장,가공,
5,어간장,7,식,간장,가공,
6,설탕,525,농식,설탕,그대로,
6,황설탕,10,농식,설탕,가공,
6,흑설탕,4,농식,설탕,가공,
7,물,415,농식,물,그대로,
8,참기름,412,농식,참기름,그대로,
9,후춧가루,388,농식,후추,가공,"통후추만 별개. ""후추 약간""이 통후추인지 가루인지 판별 근거 없어 통합"
9,흰후춧가루,9,농식,후추,가공,
10,당근,330,농식,당근,그대로,
10,당근다진것,5,식,당근,가공,
11,대파,275,농식,대파,그대로,
11,다진대파,14,농식,대파,가공,
11,다진 대파,6,식,대파,가공,
12,식초,259,농식,식초,그대로,
12,발사믹식초,19,식,발사믹식초,그대로,
12,사과식초,12,식,식초,가공,
13,생강,125,농식,생강,그대로,
13,생강즙,60,농식,생강,가공,
13,다진생강,27,농식,생강,가공,
13,생강청,19,식,생강청,그대로,
13,다진 생강,10,식,생강,가공,
13,생강다진것,9,식,생강,가공,
13,생강가루,5,식,생강가루,그대로,"원물과 별개 상품 — 생강은 생것, 가루는 향신료로 따로 구매"
14,토마토,141,농식,토마토,그대로,
14,방울토마토,74,농식,토마토,표기,
14,토마토페이스트,10,농식,토마토페이스트,그대로,
14,토마토소스,10,농식,토마토소스,그대로,
14,홀토마토,6,농식,홀토마토,그대로,
15,고춧가루,224,농식,고춧가루,그대로,
15,고운 고춧가루,7,식,고춧가루,가공,
15,고운고춧가루,4,농식,고춧가루,가공,
16,식용유,234,농식,식용유,그대로,중성유 6종 통합. 6종 상호 공기 1건뿐(밥크로켓) — 배타적 사용
17,달걀,168,농식,계란,표기,"빈도 예외 — 달걀(168)>계란(111), 일상어 우선"
17,달걀흰자,16,식,계란흰자,가공,달걀→계란 결정에 따름
17,달걀노른자,11,농식,계란노른자,가공,
17,달걀물,7,식,계란,가공,
17,삶은 달걀,5,식,삶은 달걀,그대로,
17,달걀지단,5,식,계란,가공,"표준명 ""계란 지단""은 원천에 없음. 달걀물→계란과 동일 처리"
18,후추,119,농식,후추,그대로,
18,통후추,45,농식,통후추,그대로,
18,흰후추,40,농식,후추,가공,
19,애호박,91,농식,애호박,그대로,
19,단호박,72,농식,단호박,그대로,
19,호박,23,농식,호박,그대로,
19,호박씨,8,농식,호박씨,그대로,
19,호박잎,6,농식,호박잎,그대로,
19,미니 단호박,4,식,단호박,표기,
20,두부,169,농식,두부,그대로,
20,순두부,12,농식,순두부,그대로,
20,연두부,12,식,연두부,그대로,
20,으깬 두부,5,식,두부,표기,
21,레몬즙,96,농식,레몬,가공,즙·주스는 원물로 통일
21,레몬,69,농식,레몬,그대로,
21,레몬주스,11,농식,레몬,가공,
22,밀가루,168,농식,밀가루,그대로,
22,통밀가루,5,식,통밀가루,그대로,
23,파프리카,103,농식,파프리카,그대로,
23,노랑파프리카,9,식,파프리카,표기,
23,황파프리카,8,농식,파프리카,표기,
23,노랑 파프리카,7,식,파프리카,표기,
23,홍파프리카,7,식,파프리카,표기,
23,파프리카가루,7,식,파프리카가루,그대로,"표준명이 1건짜리 ""파프리카 가루""였음 → 7건짜리 표기로 교정"
23,빨강 파프리카,6,식,파프리카,표기,
23,적파프리카,5,농식,파프리카,표기,
23,미니파프리카,5,농식,파프리카,표기,
23,노란 파프리카,5,농식,파프리카,표기,
23,삼색파프리카,5,식,파프리카,표기,
24,표고버섯,143,농식,표고버섯,그대로,
24,건표고버섯,9,식,건표고버섯,그대로,
24,말린표고버섯,5,농,건표고버섯,표기,
24,표고버섯마른것,5,식,건표고버섯,표기,
24,마른 표고버섯,4,식,건표고버섯,표기,
25,버터,133,농식,버터,그대로,
25,무염버터,10,식,무염버터,그대로,
25,땅콩버터,9,농식,땅콩버터,그대로,
25,저염버터,4,식,버터,가공,
26,오이,147,농식,오이,그대로,
27,새우,84,농식,새우,그대로,
27,새우젓,19,농식,새우젓,그대로,
27,칵테일새우,16,농식,칵테일새우,그대로,
27,건새우,16,식,건새우,그대로,
27,새우살,10,농식,새우,가공,
28,우유,143,농식,우유,그대로,
29,무,143,농식,무,그대로,
30,감자,123,농식,감자,그대로,
30,감자전분,10,농식,감자전분,그대로,
31,계란,111,농식,계란,그대로,
31,계란노른자,12,농식,계란노른자,그대로,
31,계란흰자,4,농,계란흰자,그대로,
32,양배추,50,농식,양배추,그대로,
32,배추,42,농식,배추,그대로,
32,배추김치,11,농식,배추김치,그대로,
32,알배추,10,식,알배추,그대로,
32,적양배추,9,식,양배추,표기,
32,배추잎,4,농식,배춧잎,표기,
33,다시마,101,농식,다시마,그대로,
33,건다시마,11,식,건다시마,그대로,
33,다시마국물,8,농식,다시마,가공,
34,쇠고기,94,농식,소고기,표기,"빈도 예외 — 쇠고기(94)>소고기(48), 일상어 우선"
34,다진쇠고기,12,농식,소고기,가공,
34,쇠고기등심,5,식,소고기,가공,부위를 상위로 통합
34,쇠고기다진것,5,식,소고기,가공,
34,다진 쇠고기,4,식,소고기,가공,
35,통깨,115,농식,통깨,그대로,
36,청피망,42,농식,피망,표기,
36,피망,42,농식,피망,그대로,
36,홍피망,31,농식,피망,표기,
37,다진파,114,농식,대파,가공,
38,올리브오일,107,농식,올리브유,표기,빈도 근소 역전(107:100) — 油 표기로 통일
39,미나리,100,농식,미나리,그대로,
40,깻잎,100,농식,깻잎,그대로,
41,올리브유,100,농식,올리브유,그대로,
42,된장,76,농식,된장,그대로,
42,저염된장,15,식,된장,가공,
42,미소된장,5,농식,된장,가공,
42,일본된장,4,농식,일본된장,그대로,
43,꿀,95,농식,꿀,그대로,
44,생크림,94,농식,생크림,그대로,
45,찹쌀가루,59,농식,찹쌀가루,그대로,
45,찹쌀,35,농식,찹쌀,그대로,
46,밥,90,농식,쌀,가공,"추천 다양성 우선. 쌀→밥 단방향 대체, 역방향 미검증"
47,돼지고기,80,농식,돼지고기,그대로,
47,다진 돼지고기,10,식,돼지고기,가공,
48,배,86,농식,배,그대로,
49,사과,81,농식,사과,그대로,
49,사과즙,4,농식,사과,가공,
50,부추,68,농식,부추,그대로,
50,영양부추,14,농식,영양부추,그대로,
51,양송이버섯,57,농식,양송이버섯,그대로,
51,양송이,21,농식,양송이버섯,표기,
52,녹말가루,39,농식,녹말가루,그대로,
52,녹말,32,농식,녹말,그대로,
52,물녹말,6,식,녹말가루,가공,
53,실파,76,농식,실파,그대로,
54,청주,76,농식,청주,그대로,정종·술과 동시 등장 0건 — 같은 물건의 다른 이름
55,멸치,43,농식,멸치,그대로,
55,국멸치,11,농식,멸치,표기,
55,멸치액젓,10,농식,멸치액젓,그대로,
55,잔멸치,8,농식,멸치,표기,
55,멸치젓,4,농,멸치젓,그대로,
56,시금치,75,농식,시금치,그대로,
57,육수,52,농식,육수,그대로,
57,닭육수,23,농식,닭육수,그대로,
58,모짜렐라치즈,17,농식,모짜렐라치즈,그대로,
58,치즈,17,농식,체다치즈,표기,17건 중 8건 조리과정상 슬라이스 확인. 나머지 9건(모짜렐라 2·파마산추정 3·불명 4)은 이름 단위 배정의 한계로 미해결
58,파마산치즈,17,농식,파마산치즈,그대로,
58,크림치즈,10,농식,크림치즈,그대로,
58,치즈가루,5,농식,파마산치즈,표기,그라탱·까르보나라뇨끼·로제파스타 — 파마산 맥락
58,슬라이스치즈,4,농식,체다치즈,표기,코퍼스 외 지식 기반 — 원천은 슬라이스(형태)와 체더(종류)를 구분해 씀. 미검증
58,저염치즈,4,식,체다치즈,표기,"치즈 결정에 따름 — 코퍼스 외 지식 기반, 미검증"
59,가지,72,농식,가지,그대로,
60,팽이버섯,67,농식,팽이버섯,그대로,
61,올리고당,67,식,올리고당,그대로,
62,오징어,60,농식,오징어,그대로,
62,갑오징어,5,농식,갑오징어,그대로,
63,양상추,39,농식,양상추,그대로,
63,상추,26,농식,상추,그대로,
64,파슬리가루,37,농식,파슬리가루,그대로,
64,파슬리,20,농식,파슬리,그대로,
64,파슬리다진것,8,식,파슬리,표기,
65,쌀,64,농식,쌀,그대로,밥·쌀 통합. 생쌀군/조리밥군 교집합 0건 — 서술 시점 차이일 뿐
66,대추,64,농식,대추,그대로,
67,소고기,48,농식,소고기,그대로,
67,다진 소고기,9,식,소고기,표기,
67,다진소고기,7,식,소고기,표기,
68,느타리버섯,59,농식,느타리버섯,그대로,
68,애느타리버섯,4,식,느타리버섯,표기,
69,고구마,58,농식,고구마,그대로,
69,자색고구마,4,식,고구마,표기,
70,맛술,61,농식,맛술,그대로,
71,마요네즈,60,농식,마요네즈,그대로,
72,새송이버섯,59,농식,새송이버섯,그대로,
73,전분,47,농식,전분,그대로,
73,물전분,12,식,전분,표기,
74,파,56,농식,대파,표기,
75,김치,37,농식,배추김치,표기,"포기 단위 7건 + 조리과정 ""소/속을 털어낸다"" = 배추김치 손질법"
75,백김치,9,식,백김치,그대로,
75,신김치,4,농,신김치,그대로,
75,열무김치,4,농식,열무김치,그대로,
76,닭가슴살,53,농식,닭고기,가공,부위를 상위로 통합 (닭고기살·닭다리살·닭봉과 동일 처리)
77,닭고기,43,농식,닭고기,그대로,
77,닭고기살,10,식,닭고기,가공,
78,호두,50,농식,호두,그대로,
79,물엿,49,농식,물엿,그대로,
80,브로콜리,48,농식,브로콜리,그대로,
81,아몬드,29,농식,아몬드,그대로,
81,아몬드가루,13,농식,아몬드가루,그대로,
81,아몬드슬라이스,6,식,아몬드,표기,
82,잣,46,농식,잣,그대로,
83,빵가루,46,농식,빵가루,그대로,
84,콩나물,45,농식,콩나물,그대로,
85,토마토케첩,26,농식,토마토케첩,그대로,
85,케첩,19,농식,토마토케첩,표기,
86,바질,39,농식,바질,그대로,
86,바질가루,5,식,바질,가공,
87,쑥갓,41,농식,쑥갓,그대로,
88,참깨,39,농식,참깨,그대로,
89,어린잎,23,식,어린잎,그대로,
89,어린잎채소,16,농식,어린잎채소,그대로,
90,요거트,22,식,요거트,그대로,표준어는 요구르트 — 빈도 우선(22:5)
90,플레인요거트,11,식,요거트,표기,
90,플레인 요거트,6,식,요거트,표기,
91,오렌지,28,농식,오렌지,그대로,
91,오렌지주스,10,식,오렌지주스,그대로,가공식품 — 100~200g 음료 규모. 짜낸 즙과 구분
92,유자청,37,식,유자청,그대로,
93,쪽파,36,농식,쪽파,그대로,
94,숙주,35,농식,숙주,그대로,
95,카레가루,35,농식,카레가루,그대로,
96,바나나,35,농식,바나나,그대로,
97,화이트와인,19,농식,화이트와인,그대로,레드로 대체 불가 — 생선·크림 요리에서 결과가 달라짐
97,레드와인,12,농식,레드와인,그대로,
97,와인,4,식,레드와인,표기,색 미상 4건 전부 육류·토마토 계열 → 레드 추정. 오판 상한 4건
98,밤,34,농식,밤,그대로,
99,건포도,15,농식,건포도,그대로,
99,포도주스,7,식,포도주스,그대로,가공식품 — 50~100g 음료 규모
99,포도씨유,6,농식,식용유,표기,
99,포도,6,농식,포도,그대로,
100,매실액,33,농식,매실액,그대로,
101,현미,16,식,현미,그대로,
101,현미유,11,식,식용유,표기,
101,현미밥,6,식,쌀,가공,조리된 밥은 밥으로 취급. 생현미는 별개 유지
102,월계수잎,32,농식,월계수잎,그대로,
103,정종,31,농식,청주,표기,일본 청주 브랜드명이 일반명화
104,굴소스,31,농식,굴소스,그대로,
105,샐러리,30,농식,샐러리,그대로,표준어는 셀러리 — 빈도 우선(30:6)
106,겨자,13,농식,겨자,그대로,
106,연겨자,8,농식,겨자,가공,
106,겨자가루,8,농식,겨자가루,그대로,
107,파인애플,28,농식,파인애플,그대로,
108,김,28,농식,김,그대로,
109,베이컨,28,농식,베이컨,그대로,
